NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted
NCT06221475,A Study to Learn How BAY2927088 is Taken up and Handled by the Body in Healthy Male Participants,https://clinicaltrials.gov/study/NCT06221475,,COMPLETED,NO,DRUG: BAY2927088 coated tablet 10 mg|DRUG: [14C]-BAY2927088 solution for infusion|DRUG: [14C]-BAY2927088 oral solution,Bayer,,MALE,ADULT,PHASE1,8,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2024-01-25,2024-04-05,2024-05-08,2024-01-24,,2024-06-28
NCT06219902,A Study to Learn if Elinzanetant Affects the Ability to Drive and Brain Function in Healthy Women,https://clinicaltrials.gov/study/NCT06219902,,COMPLETED,NO,DRUG: Elinzanetant (BAY3427080)|DRUG: Placebo to elinzanetant|DRUG: Zopiclone|DRUG: Placebo to zopiclone,Bayer,,FEMALE,"ADULT, OLDER_ADULT",PHASE1,64,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2024-01-08,2024-04-15,2024-04-15,2024-01-23,,2024-05-08
NCT06195930,A Study to Learn How Safe Starting Vericiguat at a Dose of 5 Milligrams is in Participants With Chronic Heart Failure With Reduced Ejection Fraction,https://clinicaltrials.gov/study/NCT06195930,,COMPLETED,NO,DRUG: Vericiguat (BAY1021189) 5 mg,Bayer,Merck Sharp & Dohme LLC,ALL,"ADULT, OLDER_ADULT",PHASE2,106,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-04-18,2024-07-29,2024-07-29,2024-01-08,,2024-08-16
NCT06135181,A Study to Learn More About the Safety and the Blood Level of BAY1747846 Given as Injection Into the Vein at Increasing Single Doses in Chinese Healthy Male Participants,https://clinicaltrials.gov/study/NCT06135181,,COMPLETED,NO,DRUG: Gadoquatrane (BAY1747846) 0.03 mmol Gd/kg|DRUG: Gadoquatrane (BAY1747846) 0.1 mmol Gd/kg|DRUG: Matching placebo,Bayer,,MALE,ADULT,PHASE1,24,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,2020-08-26,2021-02-02,2021-04-30,2023-11-18,,2023-11-18
NCT06125366,A Study to Learn More About the Safety and the Level of BAY 1747846 in Body Given as Injection Into the Vein at Increasing Single Doses in Japanese Healthy Male Participants,https://clinicaltrials.gov/study/NCT06125366,,COMPLETED,NO,DRUG: BAY1747846|DRUG: Matching placebo,Bayer,,MALE,ADULT,PHASE1,25,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,2019-04-17,2019-06-19,2019-07-11,2023-11-09,,2023-11-09
NCT05915728,A Study to Compare How Well Gadoquatrane Works and Its Safety With an Already Available Contrast Agent for MRI in People With Any Known or Suspected Problems of the Body (Except Brain or Spinal Cord-related Problems),https://clinicaltrials.gov/study/NCT05915728,Quanti OBR,COMPLETED,NO,DRUG: Gadoquatrane (BAY1747846)|DRUG: Gadobutrol|DRUG: Gadoterate meglumine|DRUG: Gadoteridol,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE3,404,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: DIAGNOSTIC",2023-07-24,2024-05-31,2024-06-01,2023-06-23,,2024-06-13
NCT05915702,A Study to Compare How Well Gadoquatrane Works and Its Safety With an Already Available Contrast Agent for MRI in People With Known or Suspected Brain or Spinal Cord-related Problems,https://clinicaltrials.gov/study/NCT05915702,Quanti CNS,COMPLETED,NO,DRUG: Gadoquatrane (BAY1747846)|DRUG: Gadobutrol|DRUG: Gadoterate meglumine|DRUG: Gadoteridol,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE3,303,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: DIAGNOSTIC",2023-07-24,2024-05-30,2024-05-31,2023-06-23,,2024-06-13
NCT05915026,"A Study to Learn How Gadoquatrane Moves Into, Through, and Out of the Body and How Safe it is in Children (From Birth to <18 Years), Who Will Undergo a Contrast Enhanced MRI (Quanti Pediatric)",https://clinicaltrials.gov/study/NCT05915026,,COMPLETED,NO,DRUG: Gadoquatrane (BAY1747846),Bayer,,ALL,CHILD,PHASE3,93,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2023-08-16,2024-09-18,2024-10-16,2023-06-22,,2024-10-29
NCT05800444,"A Study to Learn How Safe the Study Treatment BAY3283142 is, How it Affects the Body, How it Moves Into, Through and Out of the Body When Single and Multiple Amounts Are Taken as Tablets in Japanese Healthy Male Participants",https://clinicaltrials.gov/study/NCT05800444,,COMPLETED,NO,DRUG: BAY3283142|OTHER: Placebo,Bayer,,MALE,ADULT,PHASE1,24,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: BASIC_SCIENCE,2023-04-03,2023-07-19,2023-07-19,2023-04-05,,2023-08-21
NCT05656911,A Study to Learn How Well the Study Treatment Zabedosertib (BAY1834845) Works and How Safe it is Compared to Placebo in Adult Participants With Moderate-to-severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05656911,Damask,COMPLETED,NO,DRUG: Zabedosertib (BAY1834845)|DRUG: Placebo to zabedosertib (BAY 1834845),Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,77,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-12-21,2024-01-03,2024-01-31,2022-12-19,,2024-02-28
NCT05599997,"A Study to Learn How the Study Treatment BAY1753011 Moves Into, Through and Out of the Body, How it Works, How Safe it is, and How it Affects the Body When Given Once as Tablet in Male and Female Participants With Reduced Kidney Function Compared to Matched Participants With Normal Kidney Function",https://clinicaltrials.gov/study/NCT05599997,,COMPLETED,NO,DRUG: Pecavaptan (BAY1753011)|DRUG: Pecavaptan (BAY1753011),Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,32,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2019-11-25,2021-01-22,2021-05-18,2022-10-31,,2022-10-31
NCT05563454,"A Study to Learn How Safe the Study Treatment BAY2395840 is, How it Affects the Body and How it Moves Into, Through, and Out of the Body if Given in Single and in Repetitive Doses to Japanese Healthy Male Participants",https://clinicaltrials.gov/study/NCT05563454,,COMPLETED,NO,DRUG: BAY2395840,Bayer,,MALE,ADULT,PHASE1,24,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,2022-10-11,2023-02-28,2023-02-28,2022-10-03,,2023-03-15
NCT05517746,"Study on the Safety of the Drug BAY2395840 at Different Doses, the Way the Body Absorbs, Distributes and Excretes the Drug Including the Effect of Its Formulation (Tablet or Liquid) and the Effect of Food on the Absorption, Distribution or Excretion of the Drug in Healthy Male Participants",https://clinicaltrials.gov/study/NCT05517746,,COMPLETED,NO,DRUG: BAY2395840 tablet|DRUG: BAY2395840 oral solution|DRUG: Placebo oral solution|DRUG: Placebo tablet,Bayer,,MALE,ADULT,PHASE1,63,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2019-12-18,2020-12-17,2021-03-11,2022-08-26,,2022-08-26
NCT05515432,"A Study to Learn How the Study Treatment BAY3283142 Taken as Single Dose by Mouth Moves Into, Through, and Out of the Body, How Safe it is, and How it Affects the Body in Participants With Reduced Kidney Function Compared to Participants With Normal Kidney Function of Similar Age, Gender, and Weight",https://clinicaltrials.gov/study/NCT05515432,,COMPLETED,NO,DRUG: Single oral dose of BAY3283142 IR (immediate release) tablet,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,45,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2022-08-11,2023-03-07,2023-06-06,2022-08-25,,2023-08-21
NCT05491642,"A Study in Male and Female Participants (After Menopause) With Mild to Moderate High Blood Pressure to Learn How Safe the Study Treatment BAY3283142 is, How it Affects the Body and How it Moves Into, Through and Out of the Body After Taking Single and Multiple Doses",https://clinicaltrials.gov/study/NCT05491642,,COMPLETED,NO,DRUG: BAY3283142|DRUG: Placebo to BAY3283142,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,56,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2022-09-08,2023-01-03,2023-04-28,2022-08-08,,2023-05-17
NCT05485805,A Study to Learn How Well a Single Dose of the Study Treatment Naproxen Sodium and Caffeine Combined in One Tablet (Fixed-dose Combination) Works to Relieve Pain After Dental Surgeries Compared to the Single Ingredients and to Placebo,https://clinicaltrials.gov/study/NCT05485805,,COMPLETED,NO,DRUG: Naproxen sodium and caffeine (BAY2880376)|DRUG: Naproxen sodium (Aleve)|DRUG: Caffeine|DRUG: Placebo,Bayer,,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,541,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-09-21,2024-01-25,2024-01-29,2022-08-03,,2024-02-08
NCT05481528,"A Study to Learn How Safe the Study Treatment Elinzanetant is and How it Moves Into, Through and Out of the Body When Given as Single Increasing Doses That Are Higher Than Normally Used Compared to Placebo and Moxifloxacin in Healthy Participants",https://clinicaltrials.gov/study/NCT05481528,,COMPLETED,NO,DRUG: Moxifloxacin|DRUG: Elinzanetant (BAY3427080)|DRUG: Placebo,Bayer,,ALL,ADULT,PHASE1,51,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: BASIC_SCIENCE",2022-08-19,2023-02-07,2023-04-28,2022-08-01,,2023-05-09
NCT05471817,"A Study to Learn How the Study Drug Elinzanetant (BAY 3427080) Affects the Way the Drug Dabigatran Moves Into, Through and Out of the Body in Healthy Male and Female Participants",https://clinicaltrials.gov/study/NCT05471817,,COMPLETED,NO,DRUG: Elinzanetant (BAY3427080)|DRUG: Dabigatran etexilate,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,20,INTERVENTIONAL,Allocation: NA|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2022-08-05,2022-09-20,2022-11-14,2022-07-25,,2022-11-22
NCT05419635,"A Study to Learn How the Study Treatment Asundexian Moves Into, Through and Out of the Body, How it Works, How Safe it is, and How it Affects the Body in Participants With Mild or Moderate Reduction of Liver Function Compared to Participants With Normal Liver Function",https://clinicaltrials.gov/study/NCT05419635,,COMPLETED,NO,DRUG: Asundexian (BAY2433334),Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,27,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2022-06-14,2023-05-24,2023-08-21,2022-06-15,,2023-08-29
NCT05381142,"A Study to Learn More About How the Study Treatment Elinzanetant (or BAY3427080) Moves Into, Through and Out of the Body, How Safe it is and How it Affects the Body After Taking Single and Multiple Doses in Healthy Women Aged 40 to 65 Years",https://clinicaltrials.gov/study/NCT05381142,,COMPLETED,NO,DRUG: Elinzanetant (BAY3427080)|DRUG: Placebo,Bayer,,FEMALE,"ADULT, OLDER_ADULT",PHASE1,16,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: BASIC_SCIENCE,2022-05-23,2022-07-11,2022-07-11,2022-05-19,,2022-07-27
NCT05351892,"A Study to Learn More About How Much of the Study Treatment Elinzanetant (or BAY3427080) Gets Absorbed, How Safe it is and How it Affects the Body in Healthy Female and Male Participants",https://clinicaltrials.gov/study/NCT05351892,,COMPLETED,NO,DRUG: Elinzanetant (BAY3427080),Bayer,,ALL,ADULT,PHASE1,18,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2022-05-04,2022-06-09,2022-06-20,2022-04-28,,2022-07-19
NCT05219812,A Study to Learn How Safe BAY2395840 is and How Well it Works in Participants Who Have Diabetic Nerve Pain,https://clinicaltrials.gov/study/NCT05219812,,COMPLETED,NO,DRUG: BAY2395840|DRUG: Placebo for BAY2395840,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,80,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2022-02-16,2022-11-07,2022-11-21,2022-02-02,,2023-11-13
NCT05099159,A Study to Learn More About How Well Elinzanetant Works and How Safe it is for the Treatment of Vasomotor Symptoms (Hot Flashes) That Are Caused by Hormonal Changes Over 26 Weeks in Women Who Have Been Through the Menopause (OASIS-2),https://clinicaltrials.gov/study/NCT05099159,,COMPLETED,NO,DRUG: Elinzanetant (BAY3427080)|DRUG: Placebo,Bayer,,FEMALE,"ADULT, OLDER_ADULT",PHASE3,400,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-10-29,2023-06-13,2023-10-10,2021-10-29,,2024-05-29
NCT05098938,A Study to Compare Sitavig (Acyclovir) Buccal Tablet With a Placebo in the Treatment of Herpes Labialis in Participants Whose Immune System Works Normally,https://clinicaltrials.gov/study/NCT05098938,,COMPLETED,NO,"DRUG: Acyclovir 50mg buccal/topical tablet, BAYM008894/UI1614773|DRUG: Placebo",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE3,2019,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-11-23,2023-07-19,2024-07-02,2021-10-28,,2024-07-24
NCT05086952,A Study in Healthy Adult Male Participants to Learn the Way Vericiguat is Absorbed With and Without Food When Taken as a Single Dose in Liquid Form Suitable for Children Compared to a 10 Milligram (mg) Tablet That Releases the Active Substance Immediately,https://clinicaltrials.gov/study/NCT05086952,,COMPLETED,NO,"DRUG: Vericiguat (BAY1021189) - Intervention A|DRUG: Vericiguat (BAY1021189) - Intervention B|DRUG: Vericiguat (BAY1021189) - Intervention C|DRUG: Vericiguat (Verquvo, BAY1021189) - Intervention D",Bayer,Merck Sharp & Dohme LLC,ALL,ADULT,PHASE1,36,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2021-10-12,2021-12-22,2022-02-15,2021-10-21,,2023-02-02
NCT05071729,"A Study to Learn How Elinzanetant Moves Into, Through, and Out of the Body, How Safe it is, and How it Affects the Body in Participants With Kidneys That do Not Work as Well as They Should Compared to Participants Whose Kidneys Work Normally",https://clinicaltrials.gov/study/NCT05071729,,COMPLETED,NO,DRUG: Elinzanetant (BAY3427080),Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,31,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-10-14,2022-10-19,2022-10-19,2021-10-08,,2022-10-27
NCT05061979,"A Study to Evaluate the Pharmacokinetics (How it Moves Into, Through and Out From the Body) of a New Gadolinium-based Contrast Agent (GBCA) After Injection and How Safe it is in Participants With Normal and Impaired Renal Function",https://clinicaltrials.gov/study/NCT05061979,,COMPLETED,NO,DRUG: BAY1747846,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,24,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2021-10-12,2022-03-16,2022-07-14,2021-09-30,,2022-11-21
NCT05061563,"A Study to Learn How a Proton Pump Inhibitor Affects the Way Elinzanetant (BAY 3427080) Moves Into, Through and Out of the Body, and How Much of it Gets Absorbed by the Body When Taken as a Single and Small Radioactive Dose in Healthy Adults",https://clinicaltrials.gov/study/NCT05061563,,COMPLETED,NO,DRUG: Elinzanetant (BAY3427080)|DRUG: Esomeprazole,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,14,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2021-09-30,2021-12-09,2022-02-23,2021-09-29,,2022-03-17
NCT05042362,A Study to Learn More About How Well Elinzanetant Works and How Safe it is for the Treatment of Vasomotor Symptoms (Hot Flashes) That Are Caused by Hormonal Changes Over 26 Weeks in Women Who Have Been Through the Menopause,https://clinicaltrials.gov/study/NCT05042362,OASIS-1,COMPLETED,NO,DRUG: Elinzanetant (BAY3427080)|DRUG: Placebo,Bayer,,FEMALE,"ADULT, OLDER_ADULT",PHASE3,396,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-08-27,2023-07-25,2023-11-27,2021-09-13,,2024-06-27
NCT05030584,A Study to Learn More About How Well Elinzanetant Works and How Safe it is for the Treatment of Vasomotor Symptoms (Hot Flashes) That Are Caused by Hormonal Changes Over 52 Weeks in Women Who Have Been Through the Menopause,https://clinicaltrials.gov/study/NCT05030584,OASIS-3,COMPLETED,NO,DRUG: Elinzanetant (BAY3427080)|DRUG: Placebo,Bayer,,FEMALE,"ADULT, OLDER_ADULT",PHASE3,628,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2021-08-27,2023-03-29,2024-02-12,2021-09-01,,2024-03-15
NCT05028608,"A Study to Learn What Happens to Elinzanetant in the Body When Taken With or Without Carbamazepine, and How Safe it is in Healthy Men and Women Aged 18 to 60 Years.",https://clinicaltrials.gov/study/NCT05028608,,COMPLETED,NO,DRUG: Elinzanetant (BAY3427080)|DRUG: Midazolam|DRUG: Carbamazepine,Bayer,,ALL,ADULT,PHASE1,16,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2021-09-06,2021-10-31,2022-01-20,2021-08-31,,2022-02-25
NCT05026320,A Clinical Trial to Compare Safety and Effectiveness for Relieving Tenderness of 10% Naproxen Gel vs. a 2.32% Diclofenac Diethylamine Gel in the Treatment of Strains and Bruises of the Legs.,https://clinicaltrials.gov/study/NCT05026320,,COMPLETED,NO,DRUG: Naproxen gel|DRUG: Diclofenac gel|DRUG: Placebo gel,Bayer,Deutsche Sporthochschule Köln,ALL,ADULT,PHASE2,76,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: HEALTH_SERVICES_RESEARCH",2021-08-08,2021-12-20,2021-12-20,2021-08-30,,2022-12-15
NCT05013008,"An add-on Study to the FIGARO-DKD Study Called FIGARO-BM to Learn About the Link Between Biomarkers (Substances in the Blood Used as Indicators of Biological Processes, Disease Processes or Responses to Medication) and Finerenone in FIGARO-DKD Participants",https://clinicaltrials.gov/study/NCT05013008,FIGARO-BM,COMPLETED,YES,"DRUG: Finerenone (Kerendia, BAY94-8862)|DRUG: Placebo",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,951,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2021-08-18,2021-12-31,2021-12-31,2021-08-19,2023-03-31,2023-09-15
NCT05003089,A Trial to Learn How BAY1834845 and BAY1830839 Affect Inflammation When Taken by Mouth Twice a Day for 7 Days in a Row in Healthy Male Participants,https://clinicaltrials.gov/study/NCT05003089,,COMPLETED,NO,DRUG: BAY1834845|DRUG: BAY1830839|DRUG: Prednisolone|DRUG: Placebo,Bayer,,MALE,ADULT,PHASE1,51,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2021-06-28,2021-12-16,2022-01-20,2021-08-12,,2022-12-16
